country	group	sector	subsector	id	company_name	company_city	company_headcount	supplier_of	site_status	verified_by_europages	year_established	main_activity	information	websites	address	postcode	keywords	products	products_language	chunk	lat	long
france	agriculture_livestock	agriculture_import_export	NA	ETABLISSEMENTS-PAUL-ROUVIER-ET-FILS-SARL_FRA483962-00101	ETABLISSEMENTS PAUL ROUVIER ET FILS SARL	Pont-Saint-Esprit	1 - 10	import-export - food and agriculture		FALSE	1967		The company ETABLISSEMENTS PAUL ROUVIER ET FILS SARL, founded in 1967, which operates in the Import-export - food and agriculture industry. It is based in Pont-Saint-Esprit, France.	http://www.rouviervins.fr/	30130 Pont-Saint-Esprit	NA	Import-export - food and agriculture	NA	NA	8	NA	NA
france	agriculture_livestock	agriculture_import_export	NA	JFC-FRANCE_FRA268879-00101	JFC FRANCE	Saint-Ouen	11 - 50	import-export - food and agriculture		FALSE	1996		The company JFC FRANCE, founded in 1996, which operates in the Import-export - food and agriculture industry. It is based in Saint-Ouen, France.	https://www.jfc.eu/en/	4 Quai De Seine 	93400	Import-export - food and agriculture	NA	NA	8	48.90824333646242	2.3366205935362663
france	agriculture_livestock	agriculture_import_export	NA	SCS-NUTRITION_FRA362720-00101	SCS NUTRITION	Schiltigheim		import-export - food and agriculture		FALSE	2002	Wholesaler	The company SCS NUTRITION, is a Wholesaler, founded in 2002, which operates in the Import-export - food and agriculture industry. It is based in Schiltigheim, France.	https://scsnutrition.com/	36 Route De Hausbergen 	67300	Import-export - food and agriculture	NA	NA	8	48.6166286	7.768793448929144
france	agriculture_livestock	agriculture_import_export	NA	DISTILLERIE-BENOIT-TEXIER_FRA772891-00101	DISTILLERIE BENOIT TEXIER	St Aulais La Chapelle	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company DISTILLERIE BENOIT TEXIER, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in St Aulais La Chapelle, France.		Chez Sallee 	16300	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	45.478599190579715	-0.15893806323466197
france	agriculture_livestock	agriculture_import_export	NA	FLODOR-SAS_FRA268378-00101	FLODOR SAS	Plailly	11 - 50	import-export - food and agriculture		FALSE	1993	Wholesaler	The company FLODOR SAS, is a Wholesaler, founded in 1993, which operates in the Import-export - food and agriculture industry. It is based in Plailly, France.	http://www.flodor.com	Route De Survilliers 	60128	Import-export - food and agriculture	NA	NA	8	49.1157995	2.5967144014180557
france	agriculture_livestock	agriculture_import_export	NA	ETSS-LAFAYE-PERE-ET-FILS-FOURNITURES-GLES-POUR-METIERS-DE_FRA486086-00101	ETSS LAFAYE PERE ET FILS FOURNITURES GLES POUR METIERS DE	Roanne	1 - 10	import-export - food and agriculture		FALSE	1949		The company ETSS LAFAYE PERE ET FILS FOURNITURES GLES POUR METIERS DE, founded in 1949, which operates in the Import-export - food and agriculture industry. It is based in Roanne, France.	https://www.lafaye-roanne.fr/	213 B Rue De Charlieu 	42300	Import-export - food and agriculture	NA	NA	8	46.05141955	4.089963021521227
france	agriculture_livestock	agriculture_import_export	NA	PHOSCAO_FRA301421-00101	PHOSCAO	Chateauneuf Sur Loire	51 - 100	import-export - food and agriculture		FALSE	1972		The company PHOSCAO, founded in 1972, which operates in the Import-export - food and agriculture industry. It is based in Chateauneuf Sur Loire, France.	http://www.cemoi.fr	136 Route D'Orléans 	45110	Import-export - food and agriculture	NA	NA	8	47.870499949999996	2.245703434777764
france	agriculture_livestock	agriculture_import_export	NA	FANNY-SABRE_FRA614226-00101	FANNY SABRE	Pommard	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company FANNY SABRE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Pommard, France.		12 Place De L'Europe 	21630	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	47.014191800000006	4.792215606618575
france	agriculture_livestock	agriculture_import_export	NA	TERRE-DE-VIGNOBLES_FRA650495-00101	TERRE DE VIGNOBLES	Chalette Sur Loing	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company TERRE DE VIGNOBLES, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Chalette Sur Loing, France.		2 Rue Ponte De Lima 	45120	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	48.02763250623727	2.733561145106592
france	agriculture_livestock	agriculture_import_export	NA	PERMAL-ET-FILS_FRA629511-00101	PERMAL ET FILS	Sainte Anne En Guadeloupe	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company PERMAL ET FILS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Sainte Anne En Guadeloupe, France.		Lieu Dit Bel Etang 	97180	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	16.234814271999998	-61.379739258031265
france	agriculture_livestock	agriculture_import_export	NA	NOBLESS-SA_FRA262738-00101	NOBLESS SA	Paris	1 - 10	import-export - food and agriculture		FALSE	1963		The company NOBLESS SA, founded in 1963, which operates in the Import-export - food and agriculture industry. It is based in Paris, France.		116 Rue De Turenne 	75003	Import-export - food and agriculture	NA	NA	8	48.862697173161614	2.3606706556433585
france	agriculture_livestock	agriculture_import_export	NA	GROUPE-KOBLOTH_FRA607952-00101	GROUPE KOBLOTH	Itterswiller		beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company GROUPE KOBLOTH, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Itterswiller, France.		Rue Du Viehweg 	67140	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	48.39013215	7.402156390065812
france	agriculture_livestock	agriculture_import_export	NA	GRIMAL-JEAN-MARIE-MARCEL_FRA019132-00101	GRIMAL JEAN MARIE MARCEL	Bouzigues	1 - 10	import-export - food and agriculture	Registered office	FALSE	1975	Wholesaler	The company GRIMAL JEAN MARIE MARCEL, is a Wholesaler, founded in 1975, which operates in the Import-export - food and agriculture industry. It is based in Bouzigues, France.	http://www.jeanmarie.fr	Avenue Louis Tudesq 	34140	Import-export - food and agriculture	NA	NA	8	43.43876725	3.603266095340489
france	agriculture_livestock	agriculture_import_export	NA	SA-DES-VIANDES-DU-NORD_FRA261469-00101	SA DES VIANDES DU NORD	Rungis	1 - 10	import-export - food and agriculture		FALSE	1957	Manufacturer/ Producer	The company SA DES VIANDES DU NORD, is a Manufacturer/ Producer, founded in 1957, which operates in the Import-export - food and agriculture industry. It is based in Rungis, France.		2 Rue De L' Aubrac 	94150	Import-export - food and agriculture	NA	NA	8	48.75025312749654	2.3458645217424468
france	agriculture_livestock	agriculture_import_export	NA	CLISSON-DISTRIBUTION_FRA266321-00101	CLISSON DISTRIBUTION	Clisson	51 - 100	import-export - food and agriculture	Registered office	FALSE	1972	Wholesaler	The company CLISSON DISTRIBUTION, is a Wholesaler, founded in 1972, which operates in the Import-export - food and agriculture industry. It is based in Clisson, France.	www.e-leclerc.com	Route De Nantes 	44190	Import-export - food and agriculture	NA	NA	8	47.07722795	-1.3396991690638995
france	agriculture_livestock	agriculture_import_export	NA	CHAMPAGNE-JACQUES-ROBERT-ET-SES-FILS_FRA669318-00101	CHAMPAGNE JACQUES ROBERT ET SES FILS	Monthelon	11 - 50	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company CHAMPAGNE JACQUES ROBERT ET SES FILS, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Monthelon, France.		18 Route De Chavot 	51530	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	48.98992345	3.928700512451851
france	agriculture_livestock	agriculture_import_export	NA	LES-VINS-DE-LA-COMETE_FRA598084-00101	LES VINS DE LA COMETE	Paris		beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company LES VINS DE LA COMETE, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Paris, France.		33 Rue Du Roi De Sicile 	75004	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	48.856230313557624	2.3568001455759884
france	agriculture_livestock	agriculture_import_export	NA	FRIGOTIMES-SA_FRA593701-00101	FRIGOTIMES SA	La Possession	11 - 50	import-export - food and agriculture	Registered office	FALSE			The company FRIGOTIMES SA, which operates in the Import-export - food and agriculture industry. It is based in La Possession, France.		12 Rue Delouise 	97419	Import-export - food and agriculture	NA	NA	8	-20.9578801852483	55.350198362422866
france	agriculture_livestock	agriculture_import_export	NA	MATELY_FRA623678-00101	MATELY	Montlucon	1 - 10	import-export - food and agriculture	Registered office	FALSE			The company MATELY, which operates in the Import-export - food and agriculture industry. It is based in Montlucon, France.	https://www.promocash.com/magasin/montlucon	31 Rue Eugene Sue Zi De Blanzat 	03100	Import-export - food and agriculture	NA	NA	8	46.343887256778665	2.5942943839204258
france	agriculture_livestock	agriculture_import_export	NA	CLOS-ET-CHATEAUX_FRA595426-00101	CLOS ET CHATEAUX	Lyon	1 - 10	beverages - import-export | import-export - food and agriculture	Registered office	FALSE			The company CLOS ET CHATEAUX, which operates in the Import-export - food and agriculture industry. It also operates in the Beverages - import-export industries. It is based in Lyon, France.		261 Rue Vendome 	69003	Import-export - food and agriculture, Beverages - import-export	NA	NA	8	45.75582765729166	4.860161640085048
